epoch;accuracy;loss;mse
0;0.18285714089870453;20.902847290039062;0.2201545685529709
1;0.30000001192092896;10.908565521240234;0.18338385224342346
2;0.3857142925262451;6.874133586883545;0.15726226568222046
3;0.47857141494750977;5.048348426818848;0.13232207298278809
4;0.5942857265472412;2.9471373558044434;0.0998866930603981
5;0.6414285898208618;2.364018678665161;0.08724906295537949
6;0.7428571581840515;1.4360512495040894;0.058343593031167984
7;0.8557142615318298;0.5862341523170471;0.03218816965818405
8;0.8714285492897034;0.49314936995506287;0.02811504900455475
9;0.895714282989502;0.36591359972953796;0.02263769321143627
10;0.949999988079071;0.17151348292827606;0.010486983694136143
11;0.9885714054107666;0.04660020396113396;0.0033039136324077845
12;0.9428571462631226;0.22260452806949615;0.013518918305635452
13;0.9700000286102295;0.0916145071387291;0.0064945402555167675
14;0.9942857027053833;0.0291114691644907;0.0019319113343954086
15;1.0;0.008464163169264793;0.0003001012955792248
16;1.0;0.003671181621029973;7.988266588654369e-05
17;1.0;0.0024737445637583733;2.557211701059714e-05
18;1.0;0.002529363613575697;3.850595385301858e-05
19;1.0;0.0017126824241131544;1.0840355571417604e-05
20;1.0;0.0015568026574328542;8.988538866105955e-06
21;1.0;0.001392224570736289;5.5939458434295375e-06
22;1.0;0.0012942823814228177;5.0139715312980115e-06
23;1.0;0.0011928171152248979;4.055591944052139e-06
24;1.0;0.0011245571076869965;3.1546783247904386e-06
25;1.0;0.0010684571461752057;2.894428462241194e-06
26;1.0;0.0010177475633099675;2.682395688680117e-06
27;1.0;0.0009345854050479829;2.0123302419960964e-06
28;1.0;0.0009019694989547133;1.8189987258665496e-06
29;1.0;0.0008458243682980537;1.5506624322370044e-06
0;0.19285714626312256;12.985565185546875;0.20786119997501373
1;0.24142856895923615;5.158596038818359;0.18074969947338104
2;0.30142858624458313;4.237969398498535;0.16151513159275055
3;0.3685714304447174;2.8201451301574707;0.136493980884552
4;0.4514285624027252;2.141547441482544;0.11450514942407608
5;0.5628571510314941;1.4475754499435425;0.08868610858917236
6;0.6399999856948853;1.0532687902450562;0.07175272703170776
7;0.772857129573822;0.6695518493652344;0.045701008290052414
8;0.808571457862854;0.5502098202705383;0.039082713425159454
9;0.8500000238418579;0.42868316173553467;0.03081190399825573
10;0.8928571343421936;0.31896188855171204;0.022502519190311432
